Model,wind_train_MSE,wind_train_R2,wind_train_Time,rainfall_train_MSE,rainfall_train_R2,rainfall_train_Time,Carbon_Emission_train_MSE,Carbon_Emission_train_R2,Carbon_Emission_train_Time,flight_train_MSE,flight_train_R2,flight_train_Time,house_8L_train_MSE,house_8L_train_R2,house_8L_train_Time,abalone_train_MSE,abalone_train_R2,abalone_train_Time
RandomForestRegressor,18.41620648936709,0.22051409691252088,1.3700814247131348,18241.61762655584,0.6766997800483702,8.560893535614014,264207.9054384286,0.7382454636650598,9.884600400924683,3367282.239637606,0.8532688348122768,2.8709170818328857,947771236.2559735,0.6646663099759397,19.308326482772827,5.002087008547008,0.5932091808145896,2.903498411178589
IQRRandomForestRegressor,18.714393060259024,0.2078930270611128,1.2790813446044922,19228.708062100828,0.6592053581469228,6.0968005657196045,267328.7019872403,0.7351536460592454,10.259613990783691,3590767.9321127883,0.8435303235364302,3.7052102088928223,924035837.7631276,0.6730642001590597,20.343960762023926,5.045249796389433,0.5896990008047768,1.786142110824585
PercentileTrimmingRandomForestRegressor,18.762649525791435,0.20585051984677094,1.2552330493927002,19112.85435432474,0.6612586590094349,4.772857427597046,267126.5299454123,0.7353539407816185,8.519991397857666,3516129.213873604,0.8467827465042573,3.1962130069732666,934469416.5868541,0.6693726653737899,15.66578722000122,5.039719986810171,0.590148708249858,1.549189567565918
OOBRandomForestRegressor,18.417993987919978,0.2204384390985964,5.0549867153167725,18244.795870419402,0.6766434513300961,13.135336875915527,264411.12506273395,0.7380441310878005,12.885757684707642,3373049.867172011,0.8530175072881001,7.818781614303589,949057474.6104939,0.6642112222531094,23.70225501060486,4.999154032186156,0.5934477028263907,5.32437539100647
OOBPlusIQRRandomForestRegressor,18.715082672758438,0.2078638384645255,6.237321138381958,19232.178704263693,0.6591438471889806,16.51847791671753,267580.0355909653,0.7349046462770501,10.643816947937012,3598061.9772204156,0.8432124815316896,6.988135814666748,925285706.7540342,0.6726219803862555,25.35763454437256,5.043481707990747,0.5898427892128681,6.378878355026245
FirstSplitCombinerRandomForestRegressor,21.249238420606094,0.10060294937665315,0.39058494567871094,48836.66472265373,0.13445699993443938,1.4716432094573975,724076.9261694599,0.28264667264286625,0.8668115139007568,13354959.71865529,0.41805032631767325,1.0617964267730713,1847351284.2175877,0.34638328405646845,1.7665574550628662,8.332461931091817,0.32236904136446043,0.5108201503753662
SharedKnowledgeRandomForestRegressor,18.751709094848103,0.2063135854460274,7.33603048324585,18188.158037212277,0.6776472561629959,41.75800800323486,268268.14784707135,0.7342229236607472,29.355005979537964,3370768.58090167,0.8531169155849853,19.697129726409912,965400727.345569,0.6584287686007932,33.39251708984375,5.02930376068376,0.5909957997041935,5.065980911254883
