Unnamed: 0,Brand,Price,Processor_Name,Processor_Brand,RAM_Expandable,RAM,RAM_TYPE,Ghz,Display_type,Display,GPU,GPU_Brand,SSD,HDD,Adapter,Battery_Life
1174,MSI,319990,Intel Core i9 (14th Gen),Intel,Not Expandable,64 GB , DDR5 RAM, 1.6 Ghz Processor,LCD,17,"GeForce RTX 4070 GPU, 8 GB",NVIDIA,2048 GB SSD Storage,No HDD,280,280W Adapter
1176,Lenovo,144990,Intel Core i7 (14th Gen),Intel,Not Expandable,16 GB , DDR5 RAM, 3.4 Ghz Processor,LCD,16,"GeForce RTX 4060 GPU, 8 GB",NVIDIA,1024 GB SSD Storage,No HDD,230,230W Adapter
1177,Acer,94990,Intel Core Ultra 7,Intel, 16 GB Expandable,16 GB LP, LPDDR5X RAM , 1.4 Ghz Processor,LED,14,Arc,Intel,1024 GB SSD Storage,No HDD,100,100W Adapter
1178,Lenovo,105799,Intel Core Ultra 7,Intel,Not Expandable,32 GB LP, LPDDR5X RAM, 3.4 Ghz Processor,LED,14,Arc,Intel,1024 GB SSD Storage,No HDD,65,65W Adapter
1179,ASUS,79990,Intel Core 5 (Series 1),Intel,Not Expandable,16 GB , DDR4 RAM, 1.4 Ghz Processor,LCD,15.6,Integrated,Intel,512 GB SSD Storage,No HDD,45,45W Adapter
1180,ASUS,152990,Intel Core Ultra 7,Intel, 16 GB Expandable,16 GB LP, LPDDR5X RAM , 1.7 Ghz Processor,LED,13.3,Integrated,Intel,1024 GB SSD Storage,No HDD,65,65W Adapter
1181,MSI,189990,Intel Core Ultra 9,Intel, 32 GB Expandable,32 GB LP, LPDDR5 RAM , 4.8 Ghz Processor,LED,16.1,"GeForce RTX 4060 GPU, 8 GB",NVIDIA,1024 GB SSD Storage,No HDD,no,Upto 10 Hrs Battery Life
1182,Lenovo,167990,Intel Core i7 (14th Gen),Intel,Not Expandable,16 GB , DDR5 RAM, 3.4 Ghz Processor,LCD,16,"GeForce RTX 4070 GPU, 8 GB",NVIDIA,1024 GB SSD Storage,No HDD,230,230W Adapter
1183,HP,41990,AMD Hexa-Core Ryzen 5 Processor,AMD,Not Expandable,16 GB , DDR4 RAM,0,LCD,15.6,Radeon,AMD,512 GB SSD Storage,No HDD,no,Upto 6 Hrs Battery Life
1184,MSI,285990,Intel Core i9 (14th Gen) Processor,Intel,Not Expandable,32 GB , DDR5 RAM,0,LCD,17,"GeForce RTX 4080 GPU, 12 GB",NVIDIA,2048 GB SSD Storage,No HDD,no,
1185,Samsung,72990,Intel Core 5 (Series 1),Intel,Not Expandable,16 GB LP, LPDDR4X RAM, 1.4 Ghz Processor,LCD,15.6,,Intel,512 GB SSD Storage,No HDD,45,45W Adapter
